"MAX_PLAN_DT","PLAN_CTRL_CD","PLAN_CTRL_NUM"
8/3/2000,"S","5344"
8/1/2000,"R","3500"
8/3/2000,"S","5342"
8/12/1999,"N","6576"
7/20/2000,"N","6856"
7/24/2000,"R","3491"
7/26/2000,"R","3493"
7/26/2000,"N","6860"
7/19/2000,"R","3487"
7/19/2000,"R","3488"
7/10/2000,"N","6804"
7/12/2000,"N","6847"
6/29/2000,"S","5318"
7/3/2000,"N","6818"
6/26/2000,"N","6832"
6/22/2000,"R","3476"
6/27/2000,"S","5315"
6/19/2000,"N","6812"
4/21/2000,"S","5264"
6/5/2000,"N","6789"
5/24/2000,"R","3439"
5/23/2000,"R","3456"
5/18/2000,"R","3453"
5/19/2000,"S","5236"
5/19/2000,"R","3449"
5/23/2000,"S","5289"
5/9/2000,"S","5276"
5/10/2000,"R","3447"
5/12/2000,"S","5277"
4/17/2000,"S","5257"
5/10/2000,"N","6796"
5/11/2000,"N","6799"
5/12/2000,"S","5280"
4/27/2000,"S","5267"
5/1/2000,"S","5270"
5/4/2000,"R","3444"
5/5/2000,"S","5274"
5/8/2000,"N","6771"
4/17/2000,"N","6776"
4/26/2000,"R","3440"
1/31/2000,"R","3403"
4/13/2000,"N","6778"
4/19/2000,"R","3437"
3/29/2000,"N","6766"
4/6/2000,"R","3432"
12/14/1999,"S","5139"
5/12/1983,"N","1208"
2/4/1983,"S","1051"
7/15/1985,"R","1438"
4/13/2000,"S","5248"
4/13/2000,"R","3435"
4/13/2000,"S","5249"
4/13/2000,"S","5250"
4/6/2000,"S","5228"
4/6/2000,"N","6774"
3/24/2000,"S","5226"
3/23/2000,"N","6762"
3/8/2000,"N","6745"
2/23/2000,"S","5201"
3/2/2000,"S","5210"
2/16/2000,"N","6734"
7/27/1999,"R","3342"
2/8/2000,"R","3400"
2/23/2000,"R","3410"
10/18/1999,"R","3281"
8/9/1999,"N","5900"
2/9/2000,"S","5144"
1/10/2000,"S","5114"
2/2/2000,"N","6703"
2/4/2000,"R","3406"
1/13/2000,"R","3388"
1/20/2000,"S","5105"
1/19/2000,"S","5169"
1/19/2000,"S","5171"
1/19/2000,"S","5154"
1/10/2000,"S","5161"
1/12/2000,"N","6707"
1/12/2000,"N","6666"
12/22/1999,"S","5140"
1/4/2000,"S","5159"
1/6/2000,"R","3371"
12/16/1999,"S","5148"
12/21/1999,"S","5125"
12/8/1999,"S","5143"
11/10/1999,"N","6529"
12/10/1999,"R","3387"
11/22/1999,"S","5119"
2/22/2002,"S","4814"
12/3/1999,"R","3384"
12/9/1999,"N","6676"
11/17/1999,"N","6663"
11/5/1999,"S","5113"
11/30/1999,"R","3385"
11/19/1999,"R","3383"
10/22/1999,"S","5055"
10/25/1999,"R","3365"
10/22/1999,"N","6631"
11/9/1999,"R","3373"
11/4/1999,"R","3355"
11/15/1999,"S","5124"
11/9/1999,"N","6658"
10/19/1999,"N","6634"
10/20/1999,"S","5103"
9/24/1999,"S","5079"
10/13/1999,"S","5095"
9/30/1999,"S","4997"
9/30/1999,"N","6617"
9/24/1999,"R","3349"
10/4/1999,"R","3348"
10/4/1999,"R","3357"
8/13/1999,"R","3335"
7/13/1999,"R","3319"
9/24/1999,"S","5080"
9/29/1999,"S","5084"
9/14/1999,"S","5058"
9/16/1999,"S","5075"
9/16/1999,"N","6602"
9/11/1984,"N","1814"
9/2/1999,"R","3339"
8/17/1999,"N","6585"
8/19/1999,"N","6554"
8/6/1999,"S","5036"
8/9/1999,"N","6572"
8/6/1999,"R","3332"
7/27/1999,"N","6548"
5/17/1999,"S","4933"
7/15/1999,"R","3325"
6/4/1985,"N","2162"
10/15/1985,"R","1503"
7/6/1999,"N","6514"
2/7/1990,"U","656"
3/22/1990,"U","664"
6/20/1990,"U","672"
10/17/1990,"U","687"
10/12/1990,"U","688"
11/1/1990,"U","694"
2/1/1991,"U","705"
2/6/1991,"U","707"
2/25/1991,"U","711"
3/1/1991,"U","712"
3/11/1991,"U","714"
5/8/1985,"U","402"
6/6/1988,"U","550"
12/7/1983,"U","321"
3/9/1989,"U","592"
9/26/1986,"U","463"
3/10/1989,"U","593"
2/12/1987,"U","476"
8/27/1987,"U","504"
10/2/1984,"U","364"
1/13/1986,"U","435"
1/12/1987,"U","473"
8/30/1988,"U","560"
1/3/1990,"U","651"
10/31/1989,"U","639"
3/14/1989,"U","594"
4/10/1989,"U","604"
5/3/1989,"U","611"
5/23/1989,"U","613"
6/1/1989,"U","615"
7/5/1989,"U","622"
7/13/1989,"U","623"
5/4/1987,"U","489"
2/29/1988,"U","530"
10/11/1985,"U","421"
1/24/1987,"U","488"
4/24/1985,"U","399"
2/15/1985,"U","385"
8/10/1987,"U","501"
4/27/1989,"U","610"
9/30/1988,"U","564"
4/17/1986,"U","440"
2/23/1989,"U","588"
6/16/1999,"R","3316"
8/15/1989,"U","627"
6/17/1999,"R","3294"
5/28/1999,"R","3288"
6/15/1999,"N","6466"
6/23/1999,"R","3320"
6/1/1999,"R","3310"
4/22/1999,"N","6465"
5/24/1999,"N","6296"
6/1/1999,"N","6516"
4/30/1999,"N","6423"
11/9/1987,"S","2041"
11/12/1987,"S","2042"
11/19/1987,"S","2047"
12/8/1987,"S","2058"
2/8/1988,"S","2077"
3/7/1988,"S","2086"
5/20/1988,"S","2137"
3/23/1984,"S","1340"
9/8/1983,"R","902"
4/18/1986,"N","2453"
3/11/1983,"R","792"
3/15/1984,"S","1331"
3/5/1985,"R","1357"
10/22/1982,"S","983"
7/16/1987,"N","2745"
11/28/1984,"N","1927"
9/28/1987,"N","2810"
10/5/1987,"N","2821"
8/6/1980,"S","507"
8/30/1982,"R","652"
1/31/1983,"N","1159"
3/1/1985,"S","1572"
11/19/1985,"S","1756"
8/16/1988,"R","2202"
5/14/1986,"N","2437"
6/8/1987,"N","2715"
1/11/1983,"N","1147"
5/24/1983,"R","842"
12/19/1983,"N","1292"
3/16/1988,"R","2079"
7/28/1982,"S","916"
1/5/1983,"S","1027"
7/29/1987,"R","1871"
4/21/1987,"N","2685"
3/17/1986,"N","2436"
4/4/1988,"N","2979"
3/26/1985,"N","2083"
9/23/1987,"N","2803"
3/19/1987,"N","2667"
1/15/1985,"N","1982"
2/14/1985,"S","1557"
9/19/1983,"N","1335"
2/18/1982,"N","905"
9/28/1988,"R","2223"
9/20/1982,"S","958"
6/8/1983,"S","1146"
4/23/1985,"S","1611"
4/20/1988,"N","2994"
9/2/1983,"R","896"
2/15/1980,"N","455"
5/18/1983,"N","1213"
8/6/1985,"S","1684"
1/11/1984,"S","1278"
7/27/1984,"S","1421"
10/26/1983,"S","1222"
1/11/1982,"S","784"
8/7/1984,"S","1429"
12/21/1982,"R","742"
10/25/1984,"N","1850"
8/28/1986,"S","1873"
11/15/1985,"N","2349"
10/17/1983,"S","1215"
10/27/1981,"S","735"
11/4/1986,"R","1703"
12/1/1986,"S","1902"
1/14/1987,"R","1737"
2/6/1986,"S","1801"
3/4/1981,"R","291"
11/4/1983,"R","942"
3/10/1988,"N","2947"
3/18/1988,"N","2956"
4/3/1987,"S","1941"
6/9/1988,"S","2145"
11/14/1986,"N","2607"
10/9/1985,"S","1719"
11/12/1987,"R","1987"
2/8/1984,"N","1544"
6/20/1984,"R","1123"
2/2/1983,"N","1158"
9/3/1987,"N","2781"
9/3/1982,"N","1076"
10/7/1986,"R","1682"
11/6/1985,"N","2335"
12/30/1985,"S","1779"
11/18/1983,"N","1426"
9/10/1984,"S","1450"
4/16/1986,"N","2452"
11/15/1988,"S","2204"
11/1/1988,"R","2239"
10/12/1988,"R","2229"
11/4/1988,"R","2242"
11/2/1988,"S","2202"
9/22/1988,"S","2177"
11/23/1988,"S","2206"
11/22/1988,"R","2257"
10/25/1988,"R","2234"
11/4/1988,"R","2244"
3/11/1988,"R","2075"
12/17/1984,"N","1953"
7/31/1984,"S","1423"
12/6/1983,"N","1444"
1/5/1987,"S","1914"
9/7/1988,"N","3121"
11/7/1988,"N","3156"
10/11/1988,"N","3147"
11/1/1988,"R","2240"
9/3/1988,"N","3128"
11/7/1988,"R","2245"
9/13/1988,"N","3130"
1/5/1989,"R","2274"
1/5/1989,"R","2275"
6/23/1988,"N","3065"
1/17/1989,"R","2287"
1/24/1989,"R","2295"
12/8/1988,"N","3186"
3/21/1988,"N","2961"
12/16/1988,"R","2267"
2/9/1989,"S","2227"
2/16/1989,"S","2235"
2/6/1989,"N","3223"
3/14/1989,"N","3252"
2/2/1989,"N","3222"
2/8/1989,"R","2303"
1/12/1987,"N","2627"
2/13/1989,"R","2308"
3/14/1989,"R","2337"
3/17/1989,"N","3260"
6/25/1984,"N","1725"
3/8/1989,"N","3244"
3/9/1989,"R","2334"
2/16/1989,"R","2314"
6/21/1989,"R","2410"
10/15/1985,"N","2320"
3/3/1989,"R","2327"
4/19/1988,"N","2988"
3/9/1984,"N","1589"
2/14/1989,"R","2310"
3/8/1989,"R","2332"
3/25/1988,"N","2966"
9/21/1988,"N","3139"
12/11/1989,"S","2378"
12/13/1989,"N","3544"
12/14/1989,"N","3545"
12/19/1989,"S","2381"
12/21/1989,"N","3552"
1/11/1985,"N","1979"
11/13/1989,"N","3508"
11/14/1989,"N","3509"
11/15/1989,"N","3515"
11/17/1989,"R","2482"
11/20/1989,"N","3517"
11/20/1989,"N","3518"
11/27/1989,"N","3524"
11/30/1989,"N","3528"
10/16/1989,"N","3466"
10/16/1989,"S","2353"
10/18/1989,"N","3472"
6/29/1989,"N","3353"
9/25/1989,"N","3436"
9/25/1989,"N","3438"
9/28/1989,"N","3443"
9/29/1989,"S","2344"
9/29/1989,"N","3449"
10/2/1989,"N","3452"
10/6/1989,"N","3454"
10/10/1989,"R","2468"
10/13/1989,"S","2352"
8/29/1989,"S","2326"
11/7/1988,"N","3160"
11/15/1988,"N","3166"
9/8/1989,"N","3422"
9/8/1989,"N","3423"
9/14/1989,"R","2459"
8/17/1989,"N","3399"
8/23/1989,"N","3409"
5/16/1989,"R","2387"
5/17/1989,"R","2390"
5/24/1989,"R","2394"
6/8/1989,"R","2401"
6/20/1989,"R","2406"
5/16/1989,"S","2271"
5/5/1989,"S","2266"
6/5/1989,"S","2280"
4/17/1989,"R","2362"
4/18/1989,"R","2363"
4/20/1989,"R","2367"
5/11/1989,"R","2384"
8/14/1989,"N","3392"
8/15/1989,"N","3393"
8/16/1989,"R","2438"
4/6/1989,"S","2253"
4/10/1989,"S","2255"
4/24/1989,"S","2260"
5/1/1989,"S","2265"
5/9/1989,"S","2268"
8/3/1989,"S","2311"
6/23/1989,"N","3349"
8/7/1989,"S","2314"
4/5/1989,"N","3269"
4/6/1989,"N","3271"
4/7/1989,"N","3272"
4/7/1989,"N","3273"
4/18/1989,"N","3282"
4/27/1989,"N","3291"
6/30/1989,"R","2418"
7/13/1989,"R","2424"
6/28/1989,"S","2292"
6/15/1989,"N","3333"
7/31/1989,"R","2431"
7/31/1989,"N","3377"
6/16/1989,"N","3337"
3/3/1989,"N","3240"
4/14/1997,"N","5754"
4/14/1997,"R","3139"
4/14/1997,"S","4385"
4/14/1997,"S","4387"
4/14/1997,"N","5759"
4/14/1997,"N","5761"
4/11/1997,"S","4386"
4/17/1997,"S","4394"
7/14/1989,"N","3364"
3/19/1997,"S","4354"
4/1/1997,"N","5744"
4/2/1997,"R","3136"
4/9/1997,"R","3137"
4/11/1997,"S","4379"
3/4/1997,"N","5710"
3/4/1997,"N","5711"
3/6/1997,"N","5715"
3/6/1997,"S","4335"
2/10/1997,"N","5687"
2/12/1997,"S","4300"
2/12/1997,"S","4301"
2/13/1997,"S","4302"
2/18/1997,"N","5700"
2/20/1997,"N","5705"
2/27/1997,"N","5706"
1/24/1997,"R","3127"
1/21/1997,"N","5662"
1/28/1997,"N","5671"
2/4/1997,"S","4290"
12/26/1996,"N","5638"
12/30/1996,"S","4249"
1/3/1997,"S","4256"
1/6/1997,"N","5645"
1/8/1997,"S","4260"
1/13/1997,"N","5652"
1/13/1997,"S","4264"
12/2/1996,"N","5611"
12/2/1996,"N","5612"
12/4/1996,"N","5613"
12/9/1996,"N","5618"
12/10/1996,"S","4233"
12/17/1996,"N","5626"
11/5/1996,"S","4194"
11/7/1996,"S","4198"
11/8/1996,"N","5586"
11/12/1996,"S","4204"
11/14/1996,"S","4207"
11/20/1996,"N","5604"
10/15/1996,"N","5559"
10/21/1996,"N","5568"
