"PLAN_CTRL_CD","PLAN_CTRL_NUM","MMS_COMPANY_NUM","BUS_ASC_NAME","PLAN_TYPE_CODE","PLAN_RECV_DATE","PLAN_COORDINATOR"
"R","2263","01385","Chieftain International (U.S.) Inc.","POE",12/6/1988,"ES"
"R","2264","00282","Dominion Exploration & Production, Inc.","POE",12/9/1988,"ES"
"R","2265","00162","Eni Petroleum Co. Inc.","POE",12/12/1988,"ES"
"R","2266","01324","B T Operating Co.","POE",12/22/1988,"ES"
"R","2267","00724","Marathon Oil Company","POE",12/16/1988,"ES"
"R","2268","01046","The Houston Exploration Company","POE",12/20/1988,"ES"
"R","2269","00083","The Louisiana Land and Exploration Company","POE",12/20/1988,"ES"
"R","2270","00083","The Louisiana Land and Exploration Company","POE",12/21/1988,"ES"
"R","2271","00078","Chevron U.S.A. Inc.","POE",12/27/1988,"ES"
"R","2272","00282","Dominion Exploration & Production, Inc.","POE",12/27/1988,"ES"
"R","2273","00001","Conoco Inc.","POE",1/3/1989,"ES"
"R","2274","00250","ORYX ENERGY COMPANY","POE",1/5/1989,"ES"
"R","2275","00040","Texaco Inc.","POE",1/5/1989,"ES"
"R","2276","00724","Marathon Oil Company","POE",1/6/1989,"ES"
"R","2277","00105","Apache Corporation","POE",1/11/1989,"ES"
"R","2278","00222","XTO Offshore Inc.","POE",1/12/1989,"ES"
"R","2279","01689","Murphy Exploration & Production Company","POE",1/12/1989,"ES"
"R","2280","02225","Freeport-McMoRan Sulphur Inc.","POE",1/6/1989,"ES"
"R","2281","01689","Murphy Exploration & Production Company","POE",1/12/1989,"ES"
"R","2282","00078","Chevron U.S.A. Inc.","POE",1/12/1989,"ES"
"R","2283","00078","Chevron U.S.A. Inc.","POE",1/12/1989,"ES"
"R","2284","01279","Gulfstar Operating Company","POE",1/12/1989,"ES"
"R","2285","00771","Texaco Exploration and Production Inc.","POE",1/12/1989,"ES"
"R","2286","00771","Texaco Exploration and Production Inc.","POE",1/17/1989,"ES"
"R","2287","00276","Exxon Mobil Corporation","DOCD",1/17/1989,"ES"
"R","2288","00276","Exxon Mobil Corporation","DOCD",1/18/1989,"ES"
"R","2289","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","POE",1/18/1989,"ES"
"R","2290","01089","Norcen Explorer, Inc.","POE",1/19/1989,"ES"
"R","2291","02225","Freeport-McMoRan Sulphur Inc.","POE",1/19/1989,"ES"
"R","2292","00185","Samedan Oil Corporation","POE",1/24/1989,"ES"
"R","2293","00276","Exxon Mobil Corporation","DOCD",1/26/1989,"ES"
"R","2294","00035","Kerr-McGee Corporation","POE",1/27/1989,"ES"
"R","2295","00078","Chevron U.S.A. Inc.","DOCD",1/24/1989,"ES"
"R","2296","00083","The Louisiana Land and Exploration Company","POE",1/30/1989,"ES"
